method,method_label,point_index,wall_s,n_exact_eval,best_fitness
ga,GA (analytical model only),0,1.357863,200,-0.786711
ga,GA (analytical model only),1,2.479695,381,-0.615212
ga,GA (analytical model only),2,3.485931,563,-0.326263
ga,GA (analytical model only),3,4.376397,742,-0.045544
ga,GA (analytical model only),4,5.233465,916,-0.045544
ga,GA (analytical model only),5,6.058776,1093,10.211607
ga,GA (analytical model only),6,6.804108,1262,11.939051
ga,GA (analytical model only),7,7.635402,1442,14.100770
ga,GA (analytical model only),8,8.462679,1625,14.100770
ga,GA (analytical model only),9,9.268432,1802,14.100770
ga,GA (analytical model only),10,10.064429,1976,14.100770
ga,GA (analytical model only),11,10.892445,2158,14.141236
ga,GA (analytical model only),12,11.724232,2333,14.141236
ga,GA (analytical model only),13,12.552007,2505,14.549465
ga,GA (analytical model only),14,13.411069,2681,14.871397
ga,GA (analytical model only),15,14.288737,2861,14.969512
ga,GA (analytical model only),16,15.096846,3030,15.390146
ga,GA (analytical model only),17,15.944668,3205,15.390146
ga,GA (analytical model only),18,16.764928,3377,15.390146
ga,GA (analytical model only),19,17.632765,3555,15.390146
ga,GA (analytical model only),20,18.467623,3723,15.390146
ga,GA (analytical model only),21,19.289291,3886,16.318005
ga,GA (analytical model only),22,20.110743,4052,16.318005
ga,GA (analytical model only),23,20.999231,4223,16.318005
ga,GA (analytical model only),24,21.911283,4403,16.850260
ga,GA (analytical model only),25,22.795944,4580,16.850260
ga,GA (analytical model only),26,23.661247,4756,17.516752
ga,GA (analytical model only),27,24.548642,4931,17.516752
ga,GA (analytical model only),28,25.430415,5105,17.516752
ga,GA (analytical model only),29,26.344742,5286,19.308375
ga,GA (analytical model only),30,27.250009,5463,19.308375
ga,GA (analytical model only),31,28.149496,5641,19.308375
ga,GA (analytical model only),32,29.035552,5818,19.308375
ga,GA (analytical model only),33,29.914557,5996,19.308375
ga,GA (analytical model only),34,30.750493,6169,19.647078
ga,GA (analytical model only),35,31.594354,6340,19.647078
ga,GA (analytical model only),36,32.422721,6512,20.342593
ga,GA (analytical model only),37,33.294909,6689,23.334105
ga,GA (analytical model only),38,34.142151,6861,23.334105
ga,GA (analytical model only),39,35.051303,7039,23.334105
ga,GA (analytical model only),40,35.922580,7214,23.334105
ga,GA (analytical model only),41,36.752600,7385,23.334105
ga,GA (analytical model only),42,37.616184,7562,23.334105
ga,GA (analytical model only),43,38.535939,7744,23.334105
ga,GA (analytical model only),44,39.441781,7923,24.473375
ga,GA (analytical model only),45,40.338359,8100,24.473375
ga,GA (analytical model only),46,41.250370,8281,24.620437
ga,GA (analytical model only),47,42.170688,8461,24.620437
ga,GA (analytical model only),48,43.092239,8638,24.767132
ga,GA (analytical model only),49,43.999641,8815,24.782877
ga,GA (analytical model only),50,44.934825,8994,25.334685
ga,GA (analytical model only),51,45.855567,9167,25.334685
ga,GA (analytical model only),52,46.763918,9341,26.104055
ga,GA (analytical model only),53,47.660030,9507,26.906300
ga,GA (analytical model only),54,48.585190,9680,26.906300
ga,GA (analytical model only),55,49.467073,9844,27.961060
ga,GA (analytical model only),56,50.392424,10017,27.961060
ga,GA (analytical model only),57,51.317394,10189,27.961060
ga,GA (analytical model only),58,52.251922,10365,27.961060
ga,GA (analytical model only),59,53.164444,10540,29.465631
ga,GA (analytical model only),60,54.065525,10710,29.465631
ga,GA (analytical model only),61,55.052450,10895,29.465631
ga,GA (analytical model only),62,56.035174,11075,29.486350
ga,GA (analytical model only),63,56.998233,11251,29.486350
ga,GA (analytical model only),64,57.941861,11426,32.874452
ga,GA (analytical model only),65,58.935544,11603,32.874452
ga,GA (analytical model only),66,59.932947,11778,33.819936
ga,GA (analytical model only),67,60.928249,11954,33.819936
ga,GA (analytical model only),68,61.891396,12119,33.864077
ga,GA (analytical model only),69,62.937799,12300,33.864077
ga,GA (analytical model only),70,63.914182,12473,33.864077
ga,GA (analytical model only),71,64.888223,12646,33.892222
ga,GA (analytical model only),72,65.849189,12815,34.649365
ga,GA (analytical model only),73,66.844514,12992,34.649365
ga,GA (analytical model only),74,67.806796,13164,34.649365
ga,GA (analytical model only),75,68.733306,13333,34.754570
ga,GA (analytical model only),76,69.622191,13497,36.210033
ga,GA (analytical model only),77,70.539418,13665,37.046920
ga,GA (analytical model only),78,71.404989,13825,37.097189
ga,GA (analytical model only),79,72.289460,13991,37.134669
ga,GA (analytical model only),80,73.214351,14162,37.598371
ga,GA (analytical model only),81,74.114602,14329,38.133904
ga,GA (analytical model only),82,75.006088,14493,38.174374
ga,GA (analytical model only),83,75.946840,14671,38.174374
ga,GA (analytical model only),84,76.875175,14848,38.174374
ga,GA (analytical model only),85,77.817988,15025,38.174374
ga,GA (analytical model only),86,78.751792,15200,38.534632
ga,GA (analytical model only),87,79.686658,15373,38.622003
ga,GA (analytical model only),88,80.662163,15553,38.622003
ga,GA (analytical model only),89,81.568051,15721,38.811043
ga,GA (analytical model only),90,82.491544,15896,38.811043
ga,GA (analytical model only),91,83.428649,16074,41.267859
ga,GA (analytical model only),92,84.332258,16249,41.267859
ga,GA (analytical model only),93,85.244633,16422,41.267859
ga,GA (analytical model only),94,86.180679,16602,41.401867
ga,GA (analytical model only),95,87.081492,16773,41.427370
ga,GA (analytical model only),96,88.020383,16952,41.747581
ga,GA (analytical model only),97,88.928728,17128,41.747581
ga,GA (analytical model only),98,89.834897,17306,41.747581
ga,GA (analytical model only),99,90.765406,17488,41.749096
ga,GA (analytical model only),100,91.698276,17670,41.872372
ga,GA (analytical model only),101,92.588520,17841,41.882765
ga,GA (analytical model only),102,93.502951,18014,41.936778
ga,GA (analytical model only),103,94.433702,18191,42.040778
ga,GA (analytical model only),104,95.392403,18375,42.040778
ga,GA (analytical model only),105,96.321276,18555,44.222932
ga,GA (analytical model only),106,97.241019,18734,44.303933
ga,GA (analytical model only),107,98.186380,18913,44.392483
ga,GA (analytical model only),108,99.068228,19084,44.684961
