config,ac,eps,violation,p_loss,objective,feasible
default,AC1,1e-07,2.283957e-09,7.299844e-01,0.5349,True
default,AC2,1e-06,1.000000e-16,7.299844e-01,0.5349,True
default,AC3,0.0001,5.392640e-13,7.955948e-01,0.5349,True
default,AC4,0.01,8.224208e-01,8.278410e-01,0.5349,False
default,AC5,0.5,1.000000e+00,8.315281e-01,0.5349,False
ga,AC1,1e-07,7.718769e-08,1.364626e-11,49.7044,True
ga,AC2,1e-06,2.642760e-07,1.385821e-11,49.7044,True
ga,AC3,0.0001,6.919742e-05,9.915463e-11,49.7044,True
ga,AC4,0.01,1.067188e-07,6.173757e-11,49.7044,True
ga,AC5,0.5,3.120532e-05,1.975267e-10,49.7044,True
ga_gnn,AC1,1e-07,5.536264e-10,3.930554e-10,45.3135,True
ga_gnn,AC2,1e-06,1.300332e-07,1.025860e-11,45.3135,True
ga_gnn,AC3,0.0001,6.342105e-05,7.553664e-09,45.3135,True
ga_gnn,AC4,0.01,2.501145e-06,6.173757e-11,45.3135,True
ga_gnn,AC5,0.5,2.232027e-02,1.636574e-08,45.3135,True
ga_gnn_policy,AC1,1e-07,4.336259e-08,1.923402e-11,49.7044,True
ga_gnn_policy,AC2,1e-06,5.685610e-07,1.060524e-11,49.7044,True
ga_gnn_policy,AC3,0.0001,2.651958e-05,9.915463e-11,49.7044,True
ga_gnn_policy,AC4,0.01,1.119484e-05,1.975267e-10,49.7044,True
ga_gnn_policy,AC5,0.5,3.700053e-06,6.173757e-11,49.7044,True
