method,method_label,n_pop,seed,fitness,feasible,wall_s,seed_ms,n_exact_eval,n_surrogate_eval,stopped_at_gen,frac_feasible_init,success
ga,GA (analytical model only),6,2025,29.948067,1,6.0288,0.000,1213,0,300,0.0000,0
ga,GA (analytical model only),6,2026,14.046534,1,1.7610,0.000,441,0,124,0.0000,0
ga,GA (analytical model only),6,2027,27.043327,1,5.3727,0.000,943,0,249,0.0000,0
ga,GA (analytical model only),6,2028,24.020893,1,3.4899,0.000,714,0,180,0.0000,0
ga,GA (analytical model only),6,2029,17.935208,1,1.7457,0.000,363,0,97,0.0000,0
ga,GA (analytical model only),6,2030,15.045191,1,4.6062,0.000,846,0,252,0.0000,0
ga,GA (analytical model only),6,2031,23.326607,1,4.5185,0.000,929,0,298,0.0000,0
ga,GA (analytical model only),6,2032,36.147367,1,6.6790,0.000,1287,0,300,0.0000,0
ga,GA (analytical model only),6,2033,15.281627,1,4.3039,0.000,886,0,294,0.0000,0
ga,GA (analytical model only),6,2034,29.592027,1,7.0390,0.000,1139,0,300,0.0000,0
ga,GA (analytical model only),10,2025,28.307703,1,8.4936,0.000,1479,0,234,0.0000,0
ga,GA (analytical model only),10,2026,23.665529,1,7.0774,0.000,1455,0,227,0.0000,0
ga,GA (analytical model only),10,2027,31.154671,1,10.9289,0.000,1980,0,300,0.0000,0
ga,GA (analytical model only),10,2028,15.929688,1,5.1283,0.000,912,0,154,0.0000,0
ga,GA (analytical model only),10,2029,24.487887,1,10.6215,0.000,1786,0,300,0.0000,0
ga,GA (analytical model only),10,2030,33.009739,1,7.9766,0.000,1395,0,214,0.0000,0
ga,GA (analytical model only),10,2031,14.935824,1,7.2614,0.000,1452,0,190,0.0000,0
ga,GA (analytical model only),10,2032,32.580865,1,11.3696,0.000,2156,0,300,0.0000,0
ga,GA (analytical model only),10,2033,32.260571,1,11.4889,0.000,2131,0,300,0.0000,0
ga,GA (analytical model only),10,2034,41.612088,1,12.0980,0.000,2179,0,300,0.0000,0
ga,GA (analytical model only),16,2025,49.369572,1,16.7781,0.000,3324,0,300,0.0000,1
ga,GA (analytical model only),16,2026,33.553873,1,12.9908,0.000,2697,0,242,0.0000,0
ga,GA (analytical model only),16,2027,28.841025,1,16.8282,0.000,3297,0,300,0.0000,0
ga,GA (analytical model only),16,2028,18.987390,1,12.4049,0.000,2480,0,227,0.0000,0
ga,GA (analytical model only),16,2029,19.433442,1,7.3306,0.000,1371,0,100,0.0000,0
ga,GA (analytical model only),16,2030,20.087413,1,7.8928,0.000,1686,0,161,0.0000,0
ga,GA (analytical model only),16,2031,42.200859,1,20.2546,0.000,3525,0,300,0.0000,0
ga,GA (analytical model only),16,2032,19.259520,1,8.9379,0.000,1704,0,135,0.0000,0
ga,GA (analytical model only),16,2033,31.847021,1,14.7772,0.000,2800,0,252,0.0000,0
ga,GA (analytical model only),16,2034,44.568403,1,18.2151,0.000,3412,0,300,0.0000,0
ga,GA (analytical model only),25,2025,27.281537,1,11.7695,0.000,2293,0,121,0.0000,0
ga,GA (analytical model only),25,2026,47.408842,1,32.4651,0.000,5806,0,300,0.0000,0
ga,GA (analytical model only),25,2027,33.118730,1,19.5435,0.000,4195,0,222,0.0000,0
ga,GA (analytical model only),25,2028,20.313016,1,21.5225,0.000,4009,0,211,0.0000,0
