axis,method,budget,fitness_mean,fitness_std,success_rate,n_runs_reporting
wall_s,ga,1.4854,-0.7867,0.0,0.0,20
wall_s,ga,1.7,-0.7867,0.0,0.0,20
wall_s,ga,1.9455,-0.7867,0.0,0.0,20
wall_s,ga,2.2266,-0.7867,0.0,0.0,20
wall_s,ga,2.5482,-0.2203,2.4401,0.0,20
wall_s,ga,2.9162,0.485,3.4708,0.0,20
wall_s,ga,3.3374,0.485,3.4708,0.0,20
wall_s,ga,3.8195,1.7429,4.5736,0.0,20
wall_s,ga,4.3712,1.7523,4.5687,0.0,20
wall_s,ga,5.0026,2.9238,5.1128,0.0,20
wall_s,ga,5.7251,5.3048,5.5579,0.0,20
wall_s,ga,6.5521,8.5372,5.1145,0.0,20
wall_s,ga,7.4984,11.7813,1.2422,0.0,20
wall_s,ga,8.5815,13.6273,1.8636,0.0,20
wall_s,ga,9.821,14.973,2.2902,0.0,20
wall_s,ga,11.2396,15.4763,2.0158,0.0,20
wall_s,ga,12.863,16.3375,2.3306,0.0,20
wall_s,ga,14.7209,17.1554,2.3014,0.0,20
wall_s,ga,16.8472,17.8749,2.1402,0.0,20
wall_s,ga,19.2806,19.0097,2.8076,0.0,20
wall_s,ga,22.0655,20.4944,3.7531,0.0,20
wall_s,ga,25.2526,22.0574,4.3056,0.0,20
wall_s,ga,28.9001,23.3837,4.5399,0.0,20
wall_s,ga,33.0744,24.8777,5.0871,0.0,20
wall_s,ga,37.8516,26.1012,5.2754,0.0,20
wall_s,ga,43.3189,27.4166,5.3692,0.0,20
wall_s,ga,49.5759,28.726,5.466,0.0,20
wall_s,ga,56.7366,29.9286,5.3131,0.0,20
wall_s,ga,64.9316,31.0742,5.1617,0.0,20
wall_s,ga,74.3103,32.3136,5.0362,0.0,20
wall_s,ga,85.0436,33.3561,5.312,0.0,20
wall_s,ga,97.3273,34.6422,5.5476,0.0,20
wall_s,ga,111.3852,35.5537,6.3336,0.05,20
wall_s,ga,127.4736,36.5368,7.0423,0.1,20
wall_s,ga,145.8858,37.3821,6.8178,0.15,20
wall_s,ga,166.9575,38.0514,6.6619,0.15,20
wall_s,ga,191.0727,38.7829,6.6074,0.15,20
wall_s,ga,218.6712,40.1508,6.373,0.15,20
wall_s,ga,250.2559,41.6897,6.5945,0.2,20
wall_s,ga,286.4027,41.9818,6.7436,0.25,20
wall_s,ga_gnn,0.1,-0.7867,0.0,0.0,17
wall_s,ga_gnn,0.1144,-0.7867,0.0,0.0,17
wall_s,ga_gnn,0.131,-0.7867,0.0,0.0,18
wall_s,ga_gnn,0.1499,-0.7434,0.1784,0.0,18
wall_s,ga_gnn,0.1715,0.5096,3.5609,0.0,19
wall_s,ga_gnn,0.1963,1.1012,4.1714,0.0,19
wall_s,ga_gnn,0.2247,1.7767,4.7047,0.0,19
wall_s,ga_gnn,0.2571,2.6913,5.1512,0.0,20
wall_s,ga_gnn,0.2943,2.754,5.1114,0.0,20
wall_s,ga_gnn,0.3368,2.7967,5.0846,0.0,20
wall_s,ga_gnn,0.3854,2.9574,5.2424,0.0,20
wall_s,ga_gnn,0.4411,4.1251,5.5843,0.0,20
