method,seed,final_fitness,wall_s,exact_calls,frac_feasible_init
ga,2025,49.7044,250.142,51720,0.0
ga,2026,36.873,265.474,53652,0.0
ga,2027,45.617,228.79,51604,0.0
ga,2028,36.1784,267.42,53185,0.0
ga,2029,36.1784,265.607,53040,0.0
ga,2030,47.8395,253.189,52007,0.0
ga,2031,31.7281,261.955,50016,0.0
ga,2032,33.1187,245.625,52692,0.0
ga,2033,47.8339,263.886,52446,0.0
ga,2034,34.6212,235.729,51304,0.0
ga,2035,37.4991,286.403,49661,0.0
ga,2036,49.7044,238.271,52674,0.0
ga,2037,38.7479,262.637,53174,0.0
ga,2038,49.3696,256.865,52105,0.0
ga,2039,47.8395,251.831,51559,0.0
ga,2040,34.7673,235.471,51045,0.0
ga,2041,49.7044,270.304,52241,0.0
ga,2042,49.7044,284.933,51901,0.0
ga,2043,34.7673,246.485,51443,0.0
ga,2044,47.8395,253.925,52889,0.0
ga_gnn,2025,49.3696,27.886,2642,0.0
ga_gnn,2026,49.7044,22.917,2672,0.0
ga_gnn,2027,47.8395,19.345,2496,0.0
ga_gnn,2028,36.1784,23.852,2675,0.0
ga_gnn,2029,37.0239,30.68,2678,0.0
ga_gnn,2030,47.4088,32.949,2721,0.0
ga_gnn,2031,25.1008,27.226,2648,0.0
ga_gnn,2032,45.2592,27.958,2734,0.0
ga_gnn,2033,38.7479,30.571,2726,0.0
ga_gnn,2034,38.4264,27.432,2622,0.0
ga_gnn,2035,45.2592,28.168,2486,0.0
ga_gnn,2036,49.3696,29.029,2636,0.0
ga_gnn,2037,38.4727,33.97,2736,0.0
ga_gnn,2038,47.8395,29.795,2632,0.0
ga_gnn,2039,32.8156,31.024,2745,0.0
ga_gnn,2040,49.7044,31.175,2633,0.0
ga_gnn,2041,46.9019,27.156,2510,0.0
ga_gnn,2042,49.7044,30.06,2632,0.0
ga_gnn,2043,35.4654,31.354,2613,0.0
ga_gnn,2044,49.7044,31.911,2625,0.0
ga_gnn_policy,2025,49.7044,28.569,2760,0.33
ga_gnn_policy,2026,49.7044,24.667,2754,0.33
ga_gnn_policy,2027,49.7044,26.641,2752,0.33
ga_gnn_policy,2028,49.6952,26.167,2806,0.33
ga_gnn_policy,2029,49.6952,29.273,2802,0.33
ga_gnn_policy,2030,49.6952,27.686,2805,0.33
ga_gnn_policy,2031,49.6952,27.668,2803,0.33
ga_gnn_policy,2032,49.6952,27.002,2804,0.33
ga_gnn_policy,2033,49.7044,26.208,2757,0.33
ga_gnn_policy,2034,49.6952,25.546,2797,0.33
ga_gnn_policy,2035,49.7044,29.489,2796,0.33
ga_gnn_policy,2036,49.7044,24.389,2741,0.33
ga_gnn_policy,2037,49.6952,25.293,2817,0.33
ga_gnn_policy,2038,49.6952,27.442,2805,0.33
ga_gnn_policy,2039,49.6952,29.536,2809,0.33
ga_gnn_policy,2040,49.7044,28.424,2753,0.33
ga_gnn_policy,2041,49.7044,29.109,2757,0.33
ga_gnn_policy,2042,49.7044,27.476,2790,0.33
ga_gnn_policy,2043,49.6952,29.457,2801,0.33
ga_gnn_policy,2044,49.7044,28.5,2757,0.33
