method,budget,n_restart,exact_calls,wall_s_per_run,eps_1,target_sum_theta,fitness_mean,fitness_std,fitness_median,fitness_best_of_n,sum_theta_mean
ga,16x9,10,526,2.664,1e-08,20.301,17.5789,2.9512,16.643,23.5541,24.763
ga,16x9,10,526,2.664,1e-07,19.301,19.8801,3.2116,19.8325,24.8347,26.4604
ga,16x9,10,526,2.664,1e-06,18.301,18.9234,3.156,18.7309,26.5516,24.7165
ga,16x9,10,526,2.664,1e-05,17.301,23.5987,5.2375,22.0535,37.4295,24.5488
ga,16x9,10,526,2.664,0.0001,16.301,25.4338,3.5154,25.2693,37.4295,22.9163
ga,24x24,10,795,4.088,1e-08,20.301,20.1555,4.8068,18.6499,27.3249,26.3592
ga,24x24,10,795,4.088,1e-07,19.301,21.9645,4.5099,22.8529,27.3249,24.4905
ga,24x24,10,795,4.088,1e-06,18.301,21.6638,4.7508,21.8645,28.578,24.2015
ga,24x24,10,795,4.088,1e-05,17.301,23.8774,4.2685,22.2481,35.2376,24.3276
ga,24x24,10,795,4.088,0.0001,16.301,27.2558,6.5104,27.6938,40.3205,22.8081
ga,40x40,10,1622,8.279,1e-08,20.301,25.9078,7.2236,27.8252,36.5934,27.5366
ga,40x40,10,1622,8.279,1e-07,19.301,24.9395,6.3002,25.2844,36.5934,26.8796
ga,40x40,10,1622,8.279,1e-06,18.301,29.9705,3.6367,29.5239,36.5934,25.4434
ga,40x40,10,1622,8.279,1e-05,17.301,22.7367,3.3359,21.2794,36.5934,21.4278
ga,40x40,10,1622,8.279,0.0001,16.301,32.8814,9.1671,30.2213,49.7561,22.5814
ga,60x60,10,3362,17.942,1e-08,20.301,22.7787,6.5587,21.9466,33.1617,27.6941
ga,60x60,10,3362,17.942,1e-07,19.301,30.8162,5.9576,29.5467,43.4571,26.0871
ga,60x60,10,3362,17.942,1e-06,18.301,28.3918,9.7915,23.9555,48.9323,24.2394
ga,60x60,10,3362,17.942,1e-05,17.301,33.3199,10.2945,27.0751,49.2818,23.607
ga,60x60,10,3362,17.942,0.0001,16.301,40.4252,5.2568,41.7191,49.2818,24.5527
ga,80x80,10,6060,31.859,1e-08,20.301,30.0235,4.0065,27.6177,38.9207,28.9725
ga,80x80,10,6060,31.859,1e-07,19.301,36.2952,8.799,37.7534,47.7613,26.0973
ga,80x80,10,6060,31.859,1e-06,18.301,31.5429,8.0696,31.6789,47.7613,26.4703
ga,80x80,10,6060,31.859,1e-05,17.301,36.9899,6.7446,37.1432,48.9661,23.9484
ga,80x80,10,6060,31.859,0.0001,16.301,44.7279,7.757,46.7227,50.0,26.9074
ga,120x120,10,12426,67.962,1e-08,20.301,31.117,7.7693,28.8248,47.7616,26.8146
ga,120x120,10,12426,67.962,1e-07,19.301,44.4421,6.3564,47.7614,49.7044,27.6347
ga,120x120,10,12426,67.962,1e-06,18.301,45.8541,7.0493,49.6037,50.0,28.8266
ga,120x120,10,12426,67.962,1e-05,17.301,48.1717,4.4012,49.9882,50.0,28.8198
ga,120x120,10,12426,67.962,0.0001,16.301,49.9421,0.1736,50.0,50.0,29.754
ga,16x9r40,40,526,2.645,1e-08,20.301,17.065,3.6573,16.6801,24.6367,25.3201
ga,16x9r40,40,526,2.645,1e-07,19.301,18.6731,3.747,19.185,26.1551,25.8885
ga,16x9r40,40,526,2.645,1e-06,18.301,20.4693,2.7543,20.3953,26.5516,25.3839
ga,16x9r40,40,526,2.645,1e-05,17.301,22.79,4.1898,21.7677,37.4295,25.9662
ga,16x9r40,40,526,2.645,0.0001,16.301,25.2435,3.7971,25.2874,37.4295,23.463
ga_gnn,16x9,10,308,2.742,1e-08,20.301,19.0502,4.5281,17.021,28.0584,26.358
ga_gnn,16x9,10,308,2.742,1e-07,19.301,22.195,5.7222,24.1196,33.1187,27.5758
ga_gnn,16x9,10,308,2.742,1e-06,18.301,20.4793,5.5377,19.6524,33.1187,27.1636
ga_gnn,16x9,10,308,2.742,1e-05,17.301,23.7888,5.4742,22.955,37.5655,22.5925
ga_gnn,16x9,10,308,2.742,0.0001,16.301,27.462,3.3328,26.0502,37.5655,22.8231
ga_gnn,24x24,10,403,3.448,1e-08,20.301,19.5651,5.8856,16.6314,27.3512,27.6245
ga_gnn,24x24,10,403,3.448,1e-07,19.301,22.3841,6.229,24.5091,31.2779,25.9668
