method,method_label,n_pop,n_runs,fitness_median,fitness_min,fitness_max,wall_s_median,n_exact_eval_median,n_success,success_rate_pct,frac_feasible_init_mean
ga,GA (analytical model only),6,10,23.673750,14.046534,36.147367,4.5624,907.5,0,0.0,0.0000
ga,GA (analytical model only),10,10,29.731187,14.935824,41.612088,9.5575,1632.5,0,0.0,0.0000
ga,GA (analytical model only),16,10,30.344023,18.987390,49.369572,13.8840,2748.5,1,10.0,0.0000
ga,GA (analytical model only),25,10,30.418742,20.313016,47.833889,18.3212,3753.5,0,0.0,0.0000
ga,GA (analytical model only),50,10,38.216643,23.919519,47.761555,59.5590,11261.0,0,0.0,0.0000
ga,GA (analytical model only),100,10,33.002124,21.203992,49.704374,75.7273,14626.5,2,20.0,0.0000
ga,GA (analytical model only),200,10,35.041623,28.354189,49.704374,152.5995,29309.0,1,10.0,0.0000
ga_gnn,GA + GNN surrogate,6,10,23.577171,14.046534,36.147367,14.4023,809.5,0,0.0,0.0000
ga_gnn,GA + GNN surrogate,10,10,29.726928,14.935824,40.878541,26.3560,1578.5,0,0.0,0.0000
ga_gnn,GA + GNN surrogate,16,10,30.823838,18.987390,49.369572,28.3931,2004.5,1,10.0,0.0000
ga_gnn,GA + GNN surrogate,25,10,29.441390,21.929414,47.761555,25.2213,1806.5,0,0.0,0.0000
ga_gnn,GA + GNN surrogate,50,10,30.180970,23.810275,49.704374,31.9986,1994.5,1,10.0,0.0000
ga_gnn,GA + GNN surrogate,100,10,41.665962,15.111190,49.704374,35.1527,1976.0,4,40.0,0.0000
ga_gnn,GA + GNN surrogate,200,10,34.625400,20.670759,49.704374,32.2348,1483.0,2,20.0,0.0000
ga_gnn_policy,GA + GNN + policy seeding,6,10,49.704374,47.761555,49.704374,5.8890,326.0,9,90.0,0.3333
ga_gnn_policy,GA + GNN + policy seeding,10,10,49.704374,49.704374,49.704374,4.6628,590.5,10,100.0,0.3000
ga_gnn_policy,GA + GNN + policy seeding,16,10,49.704374,49.704374,49.704374,6.0094,676.5,10,100.0,0.3125
ga_gnn_policy,GA + GNN + policy seeding,25,10,49.704374,49.704374,49.704374,8.2611,668.5,10,100.0,0.3200
ga_gnn_policy,GA + GNN + policy seeding,50,10,49.704374,49.704374,49.704374,8.0291,600.0,10,100.0,0.3200
ga_gnn_policy,GA + GNN + policy seeding,100,10,49.699783,49.695191,49.704374,9.0983,594.0,10,100.0,0.3300
ga_gnn_policy,GA + GNN + policy seeding,200,10,49.695191,49.695191,49.704374,13.5642,607.5,10,100.0,0.3300
