source,k_samples,rep,fitness,feasible,wall_s
policy,1,0,47.759610,1,0.056542
policy,1,1,47.759610,1,0.007162
policy,1,2,47.759610,1,0.006821
policy,1,3,47.759610,1,0.006920
policy,1,4,47.759610,1,0.007288
policy,1,5,47.759610,1,0.007077
policy,1,6,47.759610,1,0.007509
policy,2,0,47.759610,1,0.008920
policy,2,1,47.759610,1,0.006741
policy,2,2,47.759610,1,0.006496
policy,2,3,47.759610,1,0.006323
policy,2,4,47.759610,1,0.006393
policy,2,5,47.759610,1,0.006442
policy,2,6,47.759610,1,0.006367
policy,4,0,47.759610,1,0.006509
policy,4,1,47.759610,1,0.006538
policy,4,2,47.759610,1,0.006462
policy,4,3,47.759610,1,0.006656
policy,4,4,47.759610,1,0.006483
policy,4,5,47.759610,1,0.006850
policy,4,6,47.759610,1,0.007930
policy,8,0,47.759610,1,0.006884
policy,8,1,47.759610,1,0.006692
policy,8,2,47.759610,1,0.006830
policy,8,3,47.759610,1,0.007357
policy,8,4,47.759610,1,0.006675
policy,8,5,47.759610,1,0.006418
policy,8,6,47.759610,1,0.007162
policy,16,0,47.759610,1,0.006537
policy,16,1,47.759610,1,0.006617
policy,16,2,47.759610,1,0.006523
policy,16,3,47.759610,1,0.006686
policy,16,4,47.759610,1,0.006785
policy,16,5,47.759610,1,0.006784
policy,16,6,47.759610,1,0.006623
policy,32,0,47.759610,1,0.006902
policy,32,1,47.759610,1,0.006538
policy,32,2,47.759610,1,0.006487
policy,32,3,47.759610,1,0.006897
policy,32,4,47.759610,1,0.006528
policy,32,5,47.759610,1,0.006362
policy,32,6,47.759610,1,0.006602
policy,64,0,47.759610,1,0.006368
policy,64,1,47.759610,1,0.006563
policy,64,2,47.759610,1,0.006583
policy,64,3,47.759610,1,0.006412
policy,64,4,47.759610,1,0.006242
policy,64,5,47.759610,1,0.006138
policy,64,6,47.759610,1,0.007633
policy,128,0,47.759610,1,0.008049
policy,128,1,47.759610,1,0.006684
policy,128,2,47.759610,1,0.007150
policy,128,3,47.759610,1,0.006513
policy,128,4,47.759610,1,0.006433
policy,128,5,47.759610,1,0.006425
policy,128,6,47.759610,1,0.006500
policy,256,0,47.759610,1,0.008922
policy,256,1,47.759610,1,0.008363
policy,256,2,47.759610,1,0.008148
policy,256,3,47.759610,1,0.008583
policy,256,4,47.759610,1,0.007996
policy,256,5,47.759610,1,0.008197
policy,256,6,47.759610,1,0.008959
policy,512,0,47.759610,1,0.013210
policy,512,1,47.759610,1,0.011955
policy,512,2,47.759610,1,0.012024
policy,512,3,47.759610,1,0.011790
policy,512,4,47.759610,1,0.011920
policy,512,5,47.759610,1,0.011970
policy,512,6,47.759610,1,0.012051
policy,1024,0,47.759610,1,0.024807
policy,1024,1,47.759610,1,0.022580
policy,1024,2,47.759610,1,0.023106
policy,1024,3,47.759610,1,0.023615
policy,1024,4,47.759610,1,0.023568
policy,1024,5,47.759610,1,0.023002
policy,1024,6,47.759610,1,0.023344
policy,2048,0,47.759610,1,0.045260
policy,2048,1,47.759610,1,0.042637
policy,2048,2,47.759610,1,0.041442
policy,2048,3,47.759610,1,0.042755
policy,2048,4,47.759610,1,0.041890
policy,2048,5,47.759610,1,0.042546
policy,2048,6,47.759610,1,0.042651
policy,4096,0,47.759610,1,0.087015
policy,4096,1,47.759610,1,0.086547
policy,4096,2,47.759610,1,0.087011
policy,4096,3,47.759610,1,0.086181
policy,4096,4,47.759610,1,0.088845
policy,4096,5,47.759610,1,0.085942
policy,4096,6,47.759610,1,0.088880
random,1,0,-6.123317,0,0.013943
random,1,1,-7.067010,0,0.009341
random,1,2,-5.961627,0,0.011877
random,1,3,-6.427742,0,0.012798
random,1,4,-6.622419,0,0.012658
random,1,5,-5.852460,0,0.009434
random,1,6,-5.760844,0,0.008675
random,2,0,-5.481827,0,0.012269
random,2,1,-5.785030,0,0.008764
random,2,2,-5.989827,0,0.010959
random,2,3,-6.756612,0,0.009277
random,2,4,-5.958772,0,0.008781
random,2,5,-6.420800,0,0.011028
random,2,6,-6.118247,0,0.009308
random,4,0,-5.979123,0,0.014453
random,4,1,-6.231411,0,0.009092
random,4,2,-5.507905,0,0.008576
random,4,3,-5.618450,0,0.010670
random,4,4,-3.773459,0,0.009126
random,4,5,-6.235625,0,0.009311
random,4,6,-4.884093,0,0.012409
random,8,0,-4.313473,0,0.013891
random,8,1,-4.644362,0,0.009060
random,8,2,-5.238298,0,0.008551
random,8,3,-4.600759,0,0.009783
random,8,4,-5.394405,0,0.008833
random,8,5,-4.532004,0,0.008978
random,8,6,-5.961647,0,0.009838
random,16,0,-5.080612,0,0.009272
random,16,1,-4.730200,0,0.009161
random,16,2,-4.484135,0,0.017827
random,16,3,-5.225910,0,0.014517
random,16,4,-5.313973,0,0.009815
random,16,5,-4.663190,0,0.012263
random,16,6,-3.876954,0,0.011711
random,32,0,-4.570760,0,0.009191
random,32,1,-4.852922,0,0.009944
random,32,2,-4.048000,0,0.008997
random,32,3,-4.678853,0,0.009616
random,32,4,-4.160238,0,0.009131
random,32,5,-4.471952,0,0.009688
random,32,6,-3.766671,0,0.008911
random,64,0,-3.698750,0,0.008701
random,64,1,-4.451106,0,0.009822
random,64,2,-3.528487,0,0.009254
random,64,3,-3.871216,0,0.016624
random,64,4,-3.200668,0,0.015508
random,64,5,-3.684791,0,0.009520
random,64,6,-3.502374,0,0.009878
random,128,0,-4.147501,0,0.008570
random,128,1,-4.039181,0,0.012623
random,128,2,-3.797223,0,0.010390
random,128,3,-3.898218,0,0.008709
random,128,4,-4.245440,0,0.009323
random,128,5,-4.455844,0,0.010727
random,128,6,-3.605846,0,0.012072
random,256,0,-3.246291,0,0.008857
random,256,1,-3.729256,0,0.009560
random,256,2,-3.799121,0,0.008881
random,256,3,-4.660773,0,0.008975
random,256,4,-3.817157,0,0.010109
random,256,5,-3.758827,0,0.009322
random,256,6,-3.741655,0,0.009399
random,512,0,-3.639279,0,0.015539
random,512,1,-3.502481,0,0.011722
random,512,2,-3.541121,0,0.013669
random,512,3,-3.787415,0,0.012871
random,512,4,-3.391850,0,0.011420
random,512,5,-3.271232,0,0.011427
random,512,6,-3.959123,0,0.011815
random,1024,0,-3.911343,0,0.023642
random,1024,1,-3.476636,0,0.022531
random,1024,2,-3.498107,0,0.024303
random,1024,3,-2.113716,0,0.024156
random,1024,4,-3.686064,0,0.022390
random,1024,5,-1.495874,0,0.022496
random,1024,6,-3.352497,0,0.023182
random,2048,0,-3.393235,0,0.041533
random,2048,1,-2.637000,0,0.041393
random,2048,2,-2.948548,0,0.046570
random,2048,3,-3.130719,0,0.042272
random,2048,4,-3.557977,0,0.042277
random,2048,5,-3.520906,0,0.042587
random,2048,6,-2.810657,0,0.041942
random,4096,0,-2.523981,0,0.083036
random,4096,1,-2.370522,0,0.083804
random,4096,2,-2.103159,0,0.081408
random,4096,3,-2.574960,0,0.082906
random,4096,4,-2.481515,0,0.085899
random,4096,5,-2.340001,0,0.082012
random,4096,6,-2.410538,0,0.081574
policy_greedy,1,0,47.759610,1,0.005790
