solution,total_fitness,ac,epsilon,violation_prob,violation_over_epsilon,p_loss,fitness_contribution,constraint_met
greedy,47.759610,AC1,1.000e-07,5.097819e-09,0.050978,9.182485e-12,10.000000,1
greedy,47.759610,AC2,1.000e-06,3.591312e-07,0.359131,1.545328e-10,9.810979,1
greedy,47.759610,AC3,1.000e-04,4.394843e-06,0.043948,4.770754e-11,10.000000,1
greedy,47.759610,AC4,1.000e-02,1.260065e-04,0.012601,9.544139e-10,9.020263,1
greedy,47.759610,AC5,5.000e-01,1.469939e-03,0.002940,1.179323e-09,8.928367,1
best512,47.759610,AC1,1.000e-07,5.097819e-09,0.050978,9.182485e-12,10.000000,1
best512,47.759610,AC2,1.000e-06,3.591312e-07,0.359131,1.545328e-10,9.810979,1
best512,47.759610,AC3,1.000e-04,4.394843e-06,0.043948,4.770754e-11,10.000000,1
best512,47.759610,AC4,1.000e-02,1.260065e-04,0.012601,9.544139e-10,9.020263,1
best512,47.759610,AC5,5.000e-01,1.469939e-03,0.002940,1.179323e-09,8.928367,1
ga,49.695191,AC1,1.000e-07,6.972668e-08,0.697267,2.389950e-11,10.000000,1
ga,49.695191,AC2,1.000e-06,4.788080e-07,0.478808,1.060524e-11,10.000000,1
ga,49.695191,AC3,1.000e-04,2.220502e-05,0.222050,1.021371e-10,9.990817,1
ga,49.695191,AC4,1.000e-02,5.350816e-06,0.000535,1.975267e-10,9.704374,1
ga,49.695191,AC5,5.000e-01,2.767319e-06,0.000006,6.173757e-11,10.000000,1
